Team,Player,Base Price,Winning Bid,Capped/Uncapped
CSK,Noor Ahmad,20000000,100000000,Capped
CSK,Ravichandaran Ashwin,20000000,97500000,Capped
CSK,Devon Conway,20000000,62500000,Capped
CSK,Syed Khaleel Ahmed,20000000,48000000,Capped
CSK,Rachin Ravindra,15000000,40000000,Capped
CSK,Anshul Kamboj,3000000,34000000,Uncapped
CSK,Rahul Tripathi,7500000,34000000,Capped
CSK,Sam Curran,20000000,24000000,Capped
CSK,Gurjapneet Singh,3000000,22000000,Uncapped
CSK,Nathan Ellis,12500000,20000000,Capped
CSK,Deepak Hooda,7500000,17000000,Capped
CSK,Jamie Overton,15000000,15000000,Capped
CSK,Vijay Shankar,3000000,12000000,Uncapped
CSK,Vansh Bedi,3000000,5500000,Uncapped
CSK,Andre Siddarth,3000000,3000000,Uncapped
CSK,Shreyas Gopal,3000000,3000000,Uncapped
CSK,Ramakrishna Ghosh,3000000,3000000,Uncapped
CSK,Kamlesh Nagarkoti,3000000,3000000,Uncapped
CSK,Mukesh Choudhary,3000000,3000000,Uncapped
CSK,Shaik Rasheed,3000000,3000000,Uncapped
DC,KL Rahul,20000000,140000000,Capped
DC,Mitchell Starc,20000000,117500000,Capped
DC,T. Natarajan,20000000,107500000,Capped
DC,Jake Fraser-Mcgurk,20000000,90000000,Capped
DC,Mukesh Kumar,20000000,80000000,Capped
DC,Harry Brook,20000000,62500000,Capped
DC,Ashutosh Sharma,3000000,38000000,Uncapped
DC,Mohit Sharma,5000000,22000000,Uncapped
DC,Faf Du Plessis,20000000,20000000,Capped
DC,Sameer Rizvi,3000000,9500000,Uncapped
DC,Donovan Ferreira,7500000,7500000,Capped
DC,Dushmantha Chameera,7500000,7500000,Capped
DC,Vipraj Nigam,3000000,5000000,Uncapped
DC,Karun Nair,3000000,5000000,Uncapped
DC,Madhav Tiwari,3000000,4000000,Uncapped
DC,Tripurana Vijay,3000000,3000000,Uncapped
DC,Manvanth Kumar L,3000000,3000000,Uncapped
DC,Ajay Mandal,3000000,3000000,Uncapped
DC,Darshan Nalkande,3000000,3000000,Uncapped
GT,Jos Buttler,20000000,157500000,Capped
GT,Mohammad Siraj,20000000,122500000,Capped
GT,Kagiso Rabada,20000000,107500000,Capped
GT,Prasidh Krishna,20000000,95000000,Capped
GT,Washington Sundar,20000000,32000000,Capped
GT,Sherfane Rutherford,15000000,26000000,Capped
GT,Gerald Coetzee,12500000,24000000,Capped
GT,Glenn Phillips,20000000,20000000,Capped
GT,R. Sai Kishore,7500000,20000000,Capped
GT,Mahipal Lomror,5000000,17000000,Uncapped
GT,Gurnoor Singh Brar,3000000,13000000,Uncapped
GT,Mohd. Arshad Khan,3000000,13000000,Uncapped
GT,Karim Janat,7500000,7500000,Capped
GT,Jayant Yadav,7500000,7500000,Capped
GT,Ishant Sharma,7500000,7500000,Capped
GT,Kumar Kushagra,3000000,6500000,Uncapped
GT,Kulwant Khejroliya,3000000,3000000,Uncapped
GT,Manav Suthar,3000000,3000000,Uncapped
GT,Anuj Rawat,3000000,3000000,Uncapped
GT,Nishant Sindhu,3000000,3000000,Uncapped
KKR,Venkatesh Iyer,20000000,237500000,Capped
