PLAYER,Base,Capped/Uncapped
David Warner,20000000,Capped
Jonny Bairstow,20000000,Capped
Kane Williamson,20000000,Capped
Daryl Mitchell,20000000,Capped
Shardul Thakur,20000000,Capped
Mujeeb Ur Rahman,20000000,Capped
Adil Rashid,20000000,Capped
Finn Allen,20000000,Capped
Ben Duckett,20000000,Capped
Rilee Rossouw,20000000,Capped
James Vince,20000000,Capped
Tom Banton,20000000,Capped
Mustafizur Rahman,20000000,Capped
Naveen Ul Haq,20000000,Capped
Umesh Yadav,20000000,Capped
Tabraiz Shamsi,20000000,Capped
Evin Lewis,20000000,Capped
Steve Smith,20000000,Capped
Gus Atkinson,20000000,Capped
Tom Curran,20000000,Capped
Matt Henry,20000000,Capped
Alzarri Joseph,20000000,Capped
Rassie Van Der Dussen,20000000,Capped
Sean Abbott,20000000,Capped
Adam Milne,20000000,Capped
Jason Holder,20000000,Capped
Chris Jordan,20000000,Capped
Tymal Mills,20000000,Capped
Akeal Hosein,15000000,Capped
Sam Billings,15000000,Capped
Mark Chapman,15000000,Capped
Mohammad Nabi,15000000,Capped
Tom Latham,15000000,Capped
Kyle Mayers,15000000,Capped
Jason Behrendorff,15000000,Capped
Jhye Richardson,15000000,Capped
Michael Bracewell,15000000,Capped
William O'Rourke,15000000,Capped
Jimmy Neesham,15000000,Capped
Daniel Sams,15000000,Capped
Riley Meredith,15000000,Capped
Daniel Worrall,15000000,Capped
Matthew Potts,15000000,Capped
Tim Southee,15000000,Capped
John Turner,15000000,Capped
Kyle Jamieson,15000000,Capped
Shai Hope,12500000,Capped
Jordan Cox,12500000,Capped
Tim Seifert,12500000,Capped
Nandre Burger,12500000,Capped
Sikandar Raza,12500000,Capped
Will Young,12500000,Capped
Obed McCoy,12500000,Capped
Lance Morris,12500000,Capped
Ashton Agar,12500000,Capped
James Anderson,12500000,Capped
Dominic Drakes,12500000,Capped
Matthew Forde,12500000,Capped
Keemo Paul,12500000,Capped
Mayank Agarawal,10000000,Capped
Alex Carey,10000000,Capped
Ashton Turner,10000000,Capped
Krishnappa Gowtham,10000000,Capped
Gulbadin Naib,10000000,Capped
Taskin Ahmed,10000000,Capped
Chris Green,10000000,Capped
Shakib Al Hasan,10000000,Capped
Mehidy Hasan Miraz,10000000,Capped
Benjamin Sears,10000000,Capped
Dan Lawrence,10000000,Capped
Nathan Smith,10000000,Capped
David Payne,10000000,Capped
Wayne Parnell,10000000,Capped
Waqar Salamkheil,7500000,Capped
Prithvi Shaw,7500000,Capped
K.S Bharat,7500000,Capped
Keshav Maharaj,7500000,Capped
Vijayakanth Viyaskanth,7500000,Capped
Dewald Brevis,7500000,Capped
Ben McDermott,7500000,Capped
Kusal Mendis,7500000,Capped
Kusal Perera,7500000,Capped
Josh Philippe,7500000,Capped
Rishad Hossain,7500000,Capped
Zahir Khan Pakten,7500000,Capped
Nqabayomzi Peter,7500000,Capped
Tanveer Sangha,7500000,Capped
Jeffery Vandersay,7500000,Capped
Sediqullah Atal,7500000,Capped
Brandon King,7500000,Capped
Pathum Nissanka,7500000,Capped
Bhanuka Rajapaksa,7500000,Capped
Johnson Charles,7500000,Capped
Litton Das,7500000,Capped
Andre Fletcher,7500000,Capped
Ollie Pope,7500000,Capped
Kyle Verreynne,7500000,Capped
Richard Gleeson,7500000,Capped
Luke Wood,7500000,Capped
Towhid Hridoy,7500000,Capped
Mikyle Louis,7500000,Capped
Harry Tector,7500000,Capped
Najibullah Zadran,7500000,Capped
Ibrahim Zadran,7500000,Capped
Sarfaraz Khan,7500000,Capped
Matthew Short,7500000,Capped
Josh Little,7500000,Capped
Shivam Mavi,7500000,Capped
Navdeep Saini,7500000,Capped
Qais Ahmad,7500000,Capped
Charith Asalanka,7500000,Capped
Gudakesh Motie,7500000,Capped
Daniel Mousley,7500000,Capped
Dunith Wellalage,7500000,Capped
Ottneil Baartman,7500000,Capped
Dilshan Madushanka,7500000,Capped
Chetan Sakariya,7500000,Capped
Sandeep Warrier,7500000,Capped
Cooper Connolly,7500000,Capped
Dushan Hemantha,7500000,Capped
William Sutherland,7500000,Capped
Ben Dwarshuis,7500000,Capped
Olly Stone,7500000,Capped
Zak Foulkes,7500000,Capped
Wiaan Mulder,7500000,Capped
Dwaine Pretorius,7500000,Capped
Dasun Shanaka,7500000,Capped
Shoriful Islam,7500000,Capped
Blessing Muzarabani,7500000,Capped
Tanzim Hasan Sakib,7500000,Capped
Roston Chase,7500000,Capped
Junior Dala,7500000,Capped
Mahedi Hasan,7500000,Capped
Nangeyalia Kharote,7500000,Capped
Hasan Mahmud,7500000,Capped
Nahid Rana,7500000,Capped
Alick Athanaze,7500000,Capped
Hilton Cartwright,7500000,Capped
Daryn Dupavillon,7500000,Capped
Patrick Kruger,7500000,Capped
Lahiru Kumara,7500000,Capped
Michael Neser,7500000,Capped
Richard Ngarava,7500000,Capped
Odean Smith,7500000,Capped
Andrew Tye,7500000,Capped
Piyush Chawla,5000000,Uncapped
Tom Kohler-Cadmore,5000000,Uncapped
Leus Du Plooy,5000000,Uncapped
Michael Pepper,5000000,Uncapped
Ben Howell,5000000,Uncapped
Kartik Tyagi,4000000,Uncapped
Shoun Roger,4000000,Uncapped
Siddharth Kaul,4000000,Uncapped
Ajay Ahlawat,4000000,Uncapped
Jalaj Saxena,4000000,Uncapped
Yash Dhull,3000000,Uncapped
Anmolpreet Singh,3000000,Uncapped
Utkarsh Singh,3000000,Uncapped
Upendra Singh Yadav,3000000,Uncapped
Ricky Bhui,3000000,Uncapped
Aarya Desai,3000000,Uncapped
Madhav Kaushik,3000000,Uncapped
Pukhraj Mann,3000000,Uncapped
Mayank Dagar,3000000,Uncapped
Suyash Prabhudessai,3000000,Uncapped
Sanvir Singh,3000000,Uncapped
Avanish Aravelly,3000000,Uncapped
Saurav Chauhan,3000000,Uncapped
Harvik Desai,3000000,Uncapped
B.R Sharath,3000000,Uncapped
Sakib Hussain,3000000,Uncapped
Vidwath Kaverappa,3000000,Uncapped
Rajan Kumar,3000000,Uncapped
Sushant Mishra,3000000,Uncapped
Prince Choudhary,3000000,Uncapped
Himanshu Sharma,3000000,Uncapped
Prashant Solanki,3000000,Uncapped
Jhathavedh Subramanyan,3000000,Uncapped
Priyam Garg,3000000,Uncapped
Smaran Ravichandran,3000000,Uncapped
Shashwat Rawat,3000000,Uncapped
Avneesh Sudha,3000000,Uncapped
Apoorv Wankhade,3000000,Uncapped
Rishi Dhawan,3000000,Uncapped
Tanush Kotian,3000000,Uncapped
Shams Mulani,3000000,Uncapped
Shivam Singh,3000000,Uncapped
Lalit Yadav,3000000,Uncapped
Mohammed Azharuddeen,3000000,Uncapped
L.R Chethan,3000000,Uncapped
Aryaman Singh Dhaliwal,3000000,Uncapped
Urvil Patel,3000000,Uncapped
Sanskar Rawat,3000000,Uncapped
Bipin Saurabh,3000000,Uncapped
Tanay Thyagarajann,3000000,Uncapped
Money Grewal,3000000,Uncapped
Ishan Porel,3000000,Uncapped
Abhilash Shetty,3000000,Uncapped
Basil Thampi,3000000,Uncapped
Murugan Ashwin,3000000,Uncapped
Shreyas Chavan,3000000,Uncapped
Chintal Gandhi,3000000,Uncapped
Raghav Goyal,3000000,Uncapped
Jagadeesha Suchith,3000000,Uncapped
Roshan Waghsare,3000000,Uncapped
Bailapudi Yeswanth,3000000,Uncapped
Sachin Dhas,3000000,Uncapped
Ashwin Hebbar,3000000,Uncapped
Rohan Kunnummal,3000000,Uncapped
Ayush Pandey,3000000,Uncapped
Akshat Raghuwanshi,3000000,Uncapped
Virat Singh,3000000,Uncapped
Prerak Mankad,3000000,Uncapped
Vicky Ostwal,3000000,Uncapped
Shivalik Sharma,3000000,Uncapped
Salil Arora,3000000,Uncapped
Dinesh Bana,3000000,Uncapped
Ajitesh Guruswamy,3000000,Uncapped
Narayan Jagadeesan,3000000,Uncapped
Vishnu Solanki,3000000,Uncapped
K.M Asif,3000000,Uncapped
Akhil Chaudhary,3000000,Uncapped
Himanshu Chauhan,3000000,Uncapped
Arpit Guleria,3000000,Uncapped
Nishanth Saranu,3000000,Uncapped
Kuldip Yadav,3000000,Uncapped
Prithviraj Yarra,3000000,Uncapped
Shubham Agrawal,3000000,Uncapped
Jass Inder Baidwan,3000000,Uncapped
Jasmer Dhankhar,3000000,Uncapped
Pulkit Narang,3000000,Uncapped
Saumy Pandey,3000000,Uncapped
Himanshu Singh,3000000,Uncapped
Tanmay Agarwal,3000000,Uncapped
Amandeep Khare,3000000,Uncapped
Ayush Mhatre,3000000,Uncapped
Salman Nizar,3000000,Uncapped
Sumeet Verma,3000000,Uncapped
Manan Vohra,3000000,Uncapped
Samarth Vyas,3000000,Uncapped
Emanjot Chahal,3000000,Uncapped
Mayank Rawat,3000000,Uncapped
Hritik Shokeen,3000000,Uncapped
Sonu Yadav,3000000,Uncapped
S. Rithik Easwaran,3000000,Uncapped
Anmol Malhotra,3000000,Uncapped
Pradosh Paul,3000000,Uncapped
Karteek Sharma,3000000,Uncapped
Akash Singh,3000000,Uncapped
Tejasvi Singh,3000000,Uncapped
Siddharth Yadav,3000000,Uncapped
Saurabh Dubey,3000000,Uncapped
Aaqib Khan,3000000,Uncapped
Ankit Singh Rajpoot,3000000,Uncapped
