,Team,Player,Base Price,Winning Bid,Capped/Uncapped
0,CSK,Noor Ahmad,"₹2,00,00,000","₹10,00,00,000",Capped
1,CSK,Ravichandaran Ashwin,"₹2,00,00,000","₹9,75,00,000",Capped
2,CSK,Devon Conway,"₹2,00,00,000","₹6,25,00,000",Capped
3,CSK,Syed Khaleel Ahmed,"₹2,00,00,000","₹4,80,00,000",Capped
4,CSK,Rachin Ravindra,"₹1,50,00,000","₹4,00,00,000",Capped
5,CSK,Anshul Kamboj,"₹30,00,000","₹3,40,00,000",Uncapped
6,CSK,Rahul Tripathi,"₹75,00,000","₹3,40,00,000",Capped
7,CSK,Sam Curran,"₹2,00,00,000","₹2,40,00,000",Capped
8,CSK,Gurjapneet Singh,"₹30,00,000","₹2,20,00,000",Uncapped
9,CSK,Nathan Ellis,"₹1,25,00,000","₹2,00,00,000",Capped
10,CSK,Deepak Hooda,"₹75,00,000","₹1,70,00,000",Capped
11,CSK,Jamie Overton,"₹1,50,00,000","₹1,50,00,000",Capped
12,CSK,Vijay Shankar,"₹30,00,000","₹1,20,00,000",Uncapped
13,CSK,Vansh Bedi,"₹30,00,000","₹55,00,000",Uncapped
14,CSK,Andre Siddarth,"₹30,00,000","₹30,00,000",Uncapped
15,CSK,Shreyas Gopal,"₹30,00,000","₹30,00,000",Uncapped
16,CSK,Ramakrishna Ghosh,"₹30,00,000","₹30,00,000",Uncapped
17,CSK,Kamlesh Nagarkoti,"₹30,00,000","₹30,00,000",Uncapped
18,CSK,Mukesh Choudhary,"₹30,00,000","₹30,00,000",Uncapped
19,CSK,Shaik Rasheed,"₹30,00,000","₹30,00,000",Uncapped
20,DC,KL Rahul,"₹2,00,00,000","₹14,00,00,000",Capped
21,DC,Mitchell Starc,"₹2,00,00,000","₹11,75,00,000",Capped
22,DC,T. Natarajan,"₹2,00,00,000","₹10,75,00,000",Capped
23,DC,Jake Fraser-Mcgurk,"₹2,00,00,000","₹9,00,00,000",Capped
24,DC,Mukesh Kumar,"₹2,00,00,000","₹8,00,00,000",Capped
25,DC,Harry Brook,"₹2,00,00,000","₹6,25,00,000",Capped
26,DC,Ashutosh Sharma,"₹30,00,000","₹3,80,00,000",Uncapped
27,DC,Mohit Sharma,"₹50,00,000","₹2,20,00,000",Uncapped
28,DC,Faf Du Plessis,"₹2,00,00,000","₹2,00,00,000",Capped
29,DC,Sameer Rizvi,"₹30,00,000","₹95,00,000",Uncapped
30,DC,Donovan Ferreira,"₹75,00,000","₹75,00,000",Capped
31,DC,Dushmantha Chameera,"₹75,00,000","₹75,00,000",Capped
32,DC,Vipraj Nigam,"₹30,00,000","₹50,00,000",Uncapped
33,DC,Karun Nair,"₹30,00,000","₹50,00,000",Uncapped
34,DC,Madhav Tiwari,"₹30,00,000","₹40,00,000",Uncapped
35,DC,Tripurana Vijay,"₹30,00,000","₹30,00,000",Uncapped
36,DC,Manvanth Kumar L,"₹30,00,000","₹30,00,000",Uncapped
37,DC,Ajay Mandal,"₹30,00,000","₹30,00,000",Uncapped
38,DC,Darshan Nalkande,"₹30,00,000","₹30,00,000",Uncapped
39,GT,Jos Buttler,"₹2,00,00,000","₹15,75,00,000",Capped
40,GT,Mohammad Siraj,"₹2,00,00,000","₹12,25,00,000",Capped
41,GT,Kagiso Rabada,"₹2,00,00,000","₹10,75,00,000",Capped
42,GT,Prasidh Krishna,"₹2,00,00,000","₹9,50,00,000",Capped
43,GT,Washington Sundar,"₹2,00,00,000","₹3,20,00,000",Capped
44,GT,Sherfane Rutherford,"₹1,50,00,000","₹2,60,00,000",Capped
45,GT,Gerald Coetzee,"₹1,25,00,000","₹2,40,00,000",Capped
46,GT,Glenn Phillips,"₹2,00,00,000","₹2,00,00,000",Capped
47,GT,R. Sai Kishore,"₹75,00,000","₹2,00,00,000",Capped
48,GT,Mahipal Lomror,"₹50,00,000","₹1,70,00,000",Uncapped
49,GT,Gurnoor Singh Brar,"₹30,00,000","₹1,30,00,000",Uncapped
50,GT,Mohd. Arshad Khan,"₹30,00,000","₹1,30,00,000",Uncapped
51,GT,Karim Janat,"₹75,00,000","₹75,00,000",Capped
52,GT,Jayant Yadav,"₹75,00,000","₹75,00,000",Capped
53,GT,Ishant Sharma,"₹75,00,000","₹75,00,000",Capped
54,GT,Kumar Kushagra,"₹30,00,000","₹65,00,000",Uncapped
55,GT,Kulwant Khejroliya,"₹30,00,000","₹30,00,000",Uncapped
56,GT,Manav Suthar,"₹30,00,000","₹30,00,000",Uncapped
57,GT,Anuj Rawat,"₹30,00,000","₹30,00,000",Uncapped
58,GT,Nishant Sindhu,"₹30,00,000","₹30,00,000",Uncapped
59,KKR,Venkatesh Iyer,"₹2,00,00,000","₹23,75,00,000",Capped
60,KKR,Anrich Nortje,"₹2,00,00,000","₹6,50,00,000",Capped
61,KKR,Quinton De Kock,"₹2,00,00,000","₹3,60,00,000",Capped
62,KKR,Angkrish Raghuvanshi,"₹30,00,000","₹3,00,00,000",Uncapped
63,KKR,Spencer Johnson,"₹2,00,00,000","₹2,80,00,000",Capped
64,KKR,Moeen Ali,"₹2,00,00,000","₹2,00,00,000",Capped
65,KKR,Rahmanullah Gurbaz,"₹2,00,00,000","₹2,00,00,000",Capped
66,KKR,Vaibhav Arora,"₹30,00,000","₹1,80,00,000",Uncapped
67,KKR,Ajinkya Rahane,"₹1,50,00,000","₹1,50,00,000",Capped
68,KKR,Rovman Powell,"₹1,50,00,000","₹1,50,00,000",Capped
69,KKR,Umran Malik,"₹75,00,000","₹75,00,000",Capped
70,KKR,Manish Pandey,"₹75,00,000","₹75,00,000",Capped
71,KKR,Anukul Roy,"₹30,00,000","₹40,00,000",Uncapped
72,KKR,Luvnith Sisodia,"₹30,00,000","₹30,00,000",Uncapped
73,KKR,Mayank Markande,"₹30,00,000","₹30,00,000",Uncapped
74,LSG,Rishabh Pant,"₹2,00,00,000","₹27,00,00,000",Capped
75,LSG,Avesh Khan,"₹2,00,00,000","₹9,75,00,000",Capped
76,LSG,Akash Deep,"₹1,00,00,000","₹8,00,00,000",Capped
77,LSG,David Miller,"₹1,50,00,000","₹7,50,00,000",Capped
78,LSG,Abdul Samad,"₹30,00,000","₹4,20,00,000",Uncapped
79,LSG,Mitchell Marsh,"₹2,00,00,000","₹3,40,00,000",Capped
80,LSG,Shahbaz Ahamad,"₹1,00,00,000","₹2,40,00,000",Capped
81,LSG,Aiden Markram,"₹2,00,00,000","₹2,00,00,000",Capped
82,LSG,Matthew Breetzke,"₹75,00,000","₹75,00,000",Capped
83,LSG,Shamar Joseph,"₹75,00,000","₹75,00,000",Capped
84,LSG,M. Siddharth,"₹30,00,000","₹75,00,000",Uncapped
85,LSG,Arshin Kulkarni,"₹30,00,000","₹30,00,000",Uncapped
86,LSG,Rajvardhan Hangargekar,"₹30,00,000","₹30,00,000",Uncapped
87,LSG,Yuvraj Chaudhary,"₹30,00,000","₹30,00,000",Uncapped
88,LSG,Prince Yadav,"₹30,00,000","₹30,00,000",Uncapped
89,LSG,Akash Singh,"₹30,00,000","₹30,00,000",Uncapped
90,LSG,Digvesh Singh,"₹30,00,000","₹30,00,000",Uncapped
91,LSG,Himmat Singh,"₹30,00,000","₹30,00,000",Uncapped
92,LSG,Aryan Juyal,"₹30,00,000","₹30,00,000",Uncapped
93,MI,Trent Boult,"₹2,00,00,000","₹12,50,00,000",Capped
94,MI,Deepak Chahar,"₹2,00,00,000","₹9,25,00,000",Capped
95,MI,Will Jacks,"₹2,00,00,000","₹5,25,00,000",Capped
96,MI,Naman Dhir,"₹30,00,000","₹5,25,00,000",Uncapped
97,MI,Allah Ghazanfar,"₹75,00,000","₹4,80,00,000",Capped
98,MI,Mitchell Santner,"₹2,00,00,000","₹2,00,00,000",Capped
99,MI,Ryan Rickelton,"₹1,00,00,000","₹1,00,00,000",Capped
100,MI,Lizaad Williams,"₹75,00,000","₹75,00,000",Capped
101,MI,Reece Topley,"₹75,00,000","₹75,00,000",Capped
102,MI,Robin Minz,"₹30,00,000","₹65,00,000",Uncapped
103,MI,Karn Sharma,"₹50,00,000","₹50,00,000",Uncapped
104,MI,Vignesh Puthur,"₹30,00,000","₹30,00,000",Uncapped
105,MI,Arjun Tendulkar,"₹30,00,000","₹30,00,000",Uncapped
106,MI,Bevan John Jacobs,"₹30,00,000","₹30,00,000",Uncapped
107,MI,Venkata Satyanarayana Penmetsa,"₹30,00,000","₹30,00,000",Uncapped
108,MI,Raj Angad Bawa,"₹30,00,000","₹30,00,000",Uncapped
109,MI,Shrijith Krishnan,"₹30,00,000","₹30,00,000",Uncapped
110,MI,Ashwani Kumar,"₹30,00,000","₹30,00,000",Uncapped
111,PBKS,Shreyas Iyer,"₹2,00,00,000","₹26,75,00,000",Capped
112,PBKS,Yuzvendra Chahal,"₹2,00,00,000","₹18,00,00,000",Capped
113,PBKS,Arshdeep Singh,"₹2,00,00,000","₹18,00,00,000",Capped
114,PBKS,Marcus Stoinis,"₹2,00,00,000","₹11,00,00,000",Capped
115,PBKS,Marco Jansen,"₹1,25,00,000","₹7,00,00,000",Capped
116,PBKS,Nehal Wadhera,"₹30,00,000","₹4,20,00,000",Uncapped
117,PBKS,Glenn Maxwell,"₹2,00,00,000","₹4,20,00,000",Capped
118,PBKS,Priyansh Arya,"₹30,00,000","₹3,80,00,000",Uncapped
119,PBKS,Josh Inglis,"₹2,00,00,000","₹2,60,00,000",Capped
120,PBKS,Azmatullah Omarzai,"₹1,50,00,000","₹2,40,00,000",Capped
121,PBKS,Lockie Ferguson,"₹2,00,00,000","₹2,00,00,000",Capped
122,PBKS,Vyshak Vijaykumar,"₹30,00,000","₹1,80,00,000",Uncapped
123,PBKS,Yash Thakur,"₹30,00,000","₹1,60,00,000",Uncapped
124,PBKS,Harpreet Brar,"₹30,00,000","₹1,50,00,000",Uncapped
125,PBKS,Aaron Hardie,"₹1,25,00,000","₹1,25,00,000",Capped
126,PBKS,Vishnu Vinod,"₹30,00,000","₹95,00,000",Uncapped
127,PBKS,Xavier Bartlett,"₹75,00,000","₹80,00,000",Capped
128,PBKS,Kuldeep Sen,"₹75,00,000","₹80,00,000",Capped
129,PBKS,Pravin Dubey,"₹30,00,000","₹30,00,000",Uncapped
130,PBKS,Pyla Avinash,"₹30,00,000","₹30,00,000",Uncapped
131,PBKS,Suryansh Shedge,"₹30,00,000","₹30,00,000",Uncapped
132,PBKS,Musheer Khan,"₹30,00,000","₹30,00,000",Uncapped
133,PBKS,Harnoor Pannu,"₹30,00,000","₹30,00,000",Uncapped
134,RR,Jofra Archer,"₹2,00,00,000","₹12,50,00,000",Capped
135,RR,Tushar Deshpande,"₹1,00,00,000","₹6,50,00,000",Capped
136,RR,Wanindu Hasaranga,"₹2,00,00,000","₹5,25,00,000",Capped
137,RR,Maheesh Theekshana,"₹2,00,00,000","₹4,40,00,000",Capped
138,RR,Nitish Rana,"₹1,50,00,000","₹4,20,00,000",Capped
139,RR,Fazalhaq Farooqi,"₹2,00,00,000","₹2,00,00,000",Capped
140,RR,Kwena Maphaka,"₹75,00,000","₹1,50,00,000",Capped
141,RR,Akash Madhwal,"₹30,00,000","₹1,20,00,000",Uncapped
142,RR,Vaibhav Suryavanshi,"₹30,00,000","₹1,10,00,000",Uncapped
143,RR,Shubham Dubey,"₹30,00,000","₹80,00,000",Uncapped
144,RR,Yudhvir Charak,"₹30,00,000","₹35,00,000",Uncapped
145,RR,Ashok Sharma,"₹30,00,000","₹30,00,000",Uncapped
146,RR,Kunal Rathore,"₹30,00,000","₹30,00,000",Uncapped
147,RR,Kumar Kartikeya Singh,"₹30,00,000","₹30,00,000",Uncapped
148,RCB,Josh Hazlewood,"₹2,00,00,000","₹12,50,00,000",Capped
149,RCB,Phil Salt,"₹2,00,00,000","₹11,50,00,000",Capped
150,RCB,Jitesh Sharma,"₹1,00,00,000","₹11,00,00,000",Capped
151,RCB,Bhuvneshwar Kumar,"₹2,00,00,000","₹10,75,00,000",Capped
152,RCB,Liam Livingstone,"₹2,00,00,000","₹8,75,00,000",Capped
153,RCB,Rasikh Dar,"₹30,00,000","₹6,00,00,000",Uncapped
154,RCB,Krunal Pandya,"₹2,00,00,000","₹5,75,00,000",Capped
155,RCB,Tim David,"₹2,00,00,000","₹3,00,00,000",Capped
156,RCB,Jacob Bethell,"₹1,25,00,000","₹2,60,00,000",Capped
157,RCB,Suyash Sharma,"₹30,00,000","₹2,60,00,000",Uncapped
158,RCB,Devdutt Padikkal,"₹2,00,00,000","₹2,00,00,000",Capped
159,RCB,Nuwan Thushara,"₹75,00,000","₹1,60,00,000",Capped
160,RCB,Romario Shepherd,"₹1,50,00,000","₹1,50,00,000",Capped
161,RCB,Lungisani Ngidi,"₹1,00,00,000","₹1,00,00,000",Capped
162,RCB,Swapnil Singh,"₹30,00,000","₹50,00,000",Uncapped
163,RCB,Mohit Rathee,"₹30,00,000","₹30,00,000",Uncapped
164,RCB,Abhinandan Singh,"₹30,00,000","₹30,00,000",Uncapped
165,RCB,Swastik Chhikara,"₹30,00,000","₹30,00,000",Uncapped
166,RCB,Manoj Bhandage,"₹30,00,000","₹30,00,000",Uncapped
167,SRH,Ishan Kishan,"₹2,00,00,000","₹11,25,00,000",Capped
168,SRH,Mohammad Shami,"₹2,00,00,000","₹10,00,00,000",Capped
169,SRH,Harshal Patel,"₹2,00,00,000","₹8,00,00,000",Capped
170,SRH,Abhinav Manohar,"₹30,00,000","₹3,20,00,000",Uncapped
171,SRH,Rahul Chahar,"₹1,00,00,000","₹3,20,00,000",Capped
172,SRH,Adam Zampa,"₹2,00,00,000","₹2,40,00,000",Capped
173,SRH,Simarjeet Singh,"₹30,00,000","₹1,50,00,000",Uncapped
174,SRH,Eshan Malinga,"₹30,00,000","₹1,20,00,000",Uncapped
175,SRH,Brydon Carse,"₹1,00,00,000","₹1,00,00,000",Capped
176,SRH,Jaydev Unadkat,"₹1,00,00,000","₹1,00,00,000",Capped
177,SRH,Kamindu Mendis,"₹75,00,000","₹75,00,000",Capped
178,SRH,Zeeshan Ansari,"₹30,00,000","₹40,00,000",Uncapped
179,SRH,Sachin Baby,"₹30,00,000","₹30,00,000",Uncapped
180,SRH,Aniket Verma,"₹30,00,000","₹30,00,000",Uncapped
181,SRH,Atharva Taide,"₹30,00,000","₹30,00,000",Uncapped
